date, pm25, pm10, o3, no2, so2, co
2024/11/1, 71, 40, , 14, , 6
2024/11/2, 77, 38, , 8, 1, 6
2024/11/3, 77, 30, , 10, , 5
2024/11/4, 64, 38, , 15, , 5
2024/11/5, 72, 50, , 15, 1, 4
2024/11/6, 101, 56, , 14, 1, 5
2024/11/7, 117, 68, , 16, , 5
2024/11/8, 151, 47, , 10, , 5
2024/11/9, 110, 24, , 7, , 2
2024/11/10, 50, 33, , 13, , 5
2024/11/11, 68, 31, , 12, , 4
2024/11/12, 71, 20, , 10, , 4
2024/11/13, 42, , , , , 
2024/10/1, 26, 26, , 9, 1, 3
2024/10/2, 43, 14, , 4, , 3
2024/10/3, 27, 19, , 5, , 3
2024/10/4, 38, 28, , 10, , 4
2024/10/5, 57, 28, , 9, , 4
2024/10/6, 66, 26, , 8, , 4
2024/10/7, 68, 30, , 14, , 5
2024/10/8, 64, 43, , 14, , 6
2024/10/9, 87, 33, , 13, , 5
2024/10/10, 65, 27, , 11, , 5
2024/10/11, 53, 28, , 10, , 6
2024/10/12, 61, 42, , 14, , 6
2024/10/13, 87, 52, , 15, , 8
2024/10/14, 109, 52, , 17, 1, 7
2024/10/15, 107, 50, , 18, 1, 6
2024/10/16, 108, 19, , 8, , 4
2024/10/17, 42, 30, , 15, 1, 5
2024/10/18, 65, 18, , 10, , 4
2024/10/19, 44, 8, , 6, , 4
2024/10/20, 20, 12, , 11, , 4
2024/10/21, 30, 26, , 13, , 4
2024/10/22, 38, 46, , 16, 1, 6
2024/10/23, 78, 59, , 19, 1, 6
2024/10/24, 124, 41, , 13, 1, 5
2024/10/25, 77, 26, , 15, , 4
2024/10/26, 55, 25, , 13, , 4
2024/10/27, 51, 40, , 15, , 6
2024/10/28, 77, 53, , 17, , 6
2024/10/29, 106, 42, , 11, , 5
2024/10/30, 81, 38, , 11, , 4
2024/10/31, 76, 38, , 14, , 6
2024/7/1, 40, 22, , 10, , 4
2024/7/2, 42, 15, , 1, , 4
2024/7/3, 36, 17, , 2, , 3
2024/7/4, 31, 24, , 6, , 4
2024/7/5, 60, 37, , 6, 1, 5
2024/7/6, 80, 29, , 3, , 4
2024/7/7, 63, 11, , 1, , 3
2024/7/8, 27, 11, , 1, , 3
2024/7/9, 21, 15, , 5, , 6
2024/7/10, 33, 19, , 6, , 4
2024/7/11, 31, 24, , 9, , 5
2024/7/12, 44, 14, , 3, , 4
2024/7/13, 34, 9, , 2, , 4
2024/7/14, 21, 11, , 2, , 5
2024/7/15, 36, 18, , 4, , 5
2024/7/16, 36, 17, , 3, , 2
2024/7/17, 37, 15, , 3, , 2
2024/7/18, 31, 16, , 3, 1, 2
2024/7/19, 41, 16, , 4, 1, 1
2024/7/20, 37, 18, , 6, 1, 2
2024/7/21, 43, 19, , 5, , 2
2024/7/22, 47, 24, , 5, 1, 2
2024/7/23, 49, 19, , 3, 1, 1
2024/7/24, 39, 33, , 8, 1, 2
2024/7/25, 46, 50, , 10, 1, 2
2024/7/26, 66, 43, , 9, 1, 3
2024/7/27, 63, 19, , 6, , 2
2024/7/28, 37, 15, , 4, , 2
2024/7/29, 36, 20, , 8, 1, 3
2024/7/30, 36, 25, , 7, 1, 3
2024/7/31, 58, 37, , 8, 2, 2
2024/8/1, 76, 33, , 9, 1, 3
2024/8/2, 70, 19, , 3, 1, 2
2024/8/3, 45, 11, , 2, 1, 2
2024/8/4, 23, 19, , 2, 1, 2
2024/8/5, 45, 30, , 6, 1, 3
2024/8/6, 60, 24, , 3, , 2
2024/8/7, 50, 22, , 3, , 3
2024/8/8, 43, 32, , 5, , 3
2024/8/9, 58, 22, , 7, , 3
2024/8/10, 39, 41, , 11, , 3
2024/8/11, 51, 47, , 12, 1, 3
2024/8/12, 63, 46, , 12, 1, 4
2024/8/13, 68, 52, , 11, 5, 5
2024/8/14, 85, 30, , 8, , 3
2024/8/15, 60, 41, , 15, , 3
2024/8/16, 91, 29, , 13, 1, 4
2024/8/17, 54, 29, , 8, 1, 3
2024/8/18, 62, 28, , 9, , 3
2024/8/19, 62, 43, , 12, 1, 4
2024/8/20, 90, 51, , 12, 1, 5
2024/8/21, 108, 54, , 5, 1, 7
2024/8/22, 105, 45, , 4, , 7
2024/8/23, 92, 31, , 4, 1, 7
2024/8/24, 62, 41, , 3, , 8
2024/8/25, 90, 26, , 5, , 6
2024/8/26, 58, 35, , 3, , 7
2024/8/27, 66, 41, , 6, , 6
2024/8/28, 78, 32, , 1, , 5
2024/8/29, 63, 28, , 1, 1, 5
2024/8/30, 53, 32, , 1, 1, 5
2024/8/31, 61, 23, , 3, , 5
2024/9/1, 45, 31, , 6, 1, 6
2024/9/2, 66, 22, , 5, , 4
2024/9/3, 48, 27, , 6, , 3
2024/9/4, 55, 20, , 4, , 2
2024/9/5, 39, 26, , 8, , 3
2024/9/6, 51, 22, , 4, , 3
2024/9/7, 52, 28, , 6, , 3
2024/9/8, 61, 29, , 4, 1, 3
2024/9/9, 58, 19, , 4, 1, 2
2024/9/10, 32, 21, , 8, , 2
2024/9/11, 40, 26, , 9, , 4
2024/9/12, 52, 25, , 4, 1, 4
2024/9/13, 54, 19, , 7, , 4
2024/9/14, 48, 15, , 6, , 4
2024/9/15, 36, 31, , 9, 1, 5
2024/9/16, 58, 27, , 7, 1, 5
2024/9/17, 47, 35, , 10, 2, 5
2024/9/18, 72, 37, , 11, 1, 5
2024/9/19, 75, 36, , 8, 2, 5
2024/9/20, 62, 16, , 7, 1, 3
2024/9/21, 28, 26, , 8, 1, 4
2024/9/22, 43, 28, , 7, 1, 4
2024/9/23, 49, 38, , 11, , 5
2024/9/24, 67, 59, , 11, 1, 6
2024/9/25, 124, 57, , 14, , 6
2024/9/26, 121, 63, , 15, 1, 7
2024/9/27, 136, 59, , 9, 1, 6
2024/9/28, 133, 33, , 5, 1, 4
2024/9/29, 69, 10, , 5, , 2
2024/9/30, 19, 17, , 9, 1, 4
2024/4/1, 94, 55, , 8, 1, 4
2024/4/2, 98, 66, , 6, , 4
2024/4/3, 113, 50, , 6, , 4
2024/4/4, 83, 25, , 3, , 4
2024/4/5, 51, 31, , 5, , 3
2024/4/6, 54, 26, , 7, , 3
2024/4/7, 56, 34, , 12, , 5
2024/4/8, 65, 39, , 10, , 5
2024/4/9, 78, 28, , 5, 1, 5
2024/4/10, 55, 25, , 6, 1, 5
2024/4/11, 54, 36, , 12, 1, 6
2024/4/12, 71, 59, , 14, 1, 7
2024/4/13, 123, 60, , 12, 1, 7
2024/4/14, 123, 67, , 15, 2, 8
2024/4/15, 132, 49, , 6, 1, 5
2024/4/16, 84, 50, , 6, 1, 4
2024/4/17, 93, 27, , 6, 1, 4
2024/4/18, 53, 24, , 7, 1, 4
2024/4/19, 47, 51, , 8, 1, 3
2024/4/20, 83, 83, , 7, 1, 3
2024/4/21, 120, 51, , 5, , 4
2024/4/22, 89, 30, , 9, 4, 3
2024/4/23, 46, 26, , 5, 3, 3
2024/4/24, 47, 30, , 8, 2, 4
2024/4/25, 54, 57, , 12, 3, 6
2024/4/26, 131, 58, , 11, 3, 6
2024/4/27, 127, 77, , 11, 3, 7
2024/4/28, 164, 40, , 4, 3, 4
2024/4/29, 83, 14, , 5, 1, 2
2024/4/30, 24, 36, , 5, , 4
2024/5/1, 80, 25, , 2, , 3
2024/5/2, 58, 18, , 2, , 3
2024/5/3, 34, 24, , 6, , 4
2024/5/4, 41, 41, , 8, 1, 4
2024/5/5, 74, 59, , 12, 1, 6
2024/5/6, 114, 66, , 22, , 7
2024/5/7, 133, 36, , 13, , 5
2024/5/8, 78, 40, , 8, , 4
2024/5/9, 81, 51, , 11, , 5
2024/5/10, 118, 49, , 6, , 4
2024/5/11, 85, 49, , 8, 1, 3
2024/5/12, 65, 38, , 6, , 3
2024/5/13, 49, 50, , 12, 1, 4
2024/5/14, 77, 57, , 14, 1, 5
2024/5/15, 114, 61, , 14, 1, 5
2024/5/16, 116, 67, , 12, 1, 6
2024/5/17, 139, 56, , 9, 1, 5
2024/5/18, 121, 40, , 5, , 4
2024/5/19, 84, 28, , 8, 1, 4
2024/5/20, 44, 30, , 5, , 4
2024/5/21, 58, 49, , 11, 1, 6
2024/5/22, 94, 52, , 11, 1, 6
2024/5/23, 110, 50, , 11, 1, 6
2024/5/24, 104, 46, , 6, 1, 5
2024/5/25, 83, 37, , 4, , 3
2024/5/26, 63, 35, , 5, , 3
2024/5/27, 64, 21, , 4, , 2
2024/5/28, 40, 15, , 2, , 1
2024/5/29, 34, 23, , 5, , 1
2024/5/30, 39, 50, , 11, 1, 2
2024/5/31, 66, 41, , 5, , 2
2024/6/1, 60, 23, , 2, , 1
2024/6/2, 51, 31, , 7, , 2
2024/6/3, 66, 24, , 4, 1, 2
2024/6/4, 57, 25, , 2, , 2
2024/6/5, 48, 33, , 5, , 3
2024/6/6, 68, 25, , 5, , 4
2024/6/7, 58, 32, , 9, , 4
2024/6/8, 70, 32, , 6, , 3
2024/6/9, 69, 56, , 10, 1, 5
2024/6/10, 116, 26, , 4, , 3
2024/6/11, 51, 23, , 4, , 3
2024/6/12, 42, 45, , 13, 1, 5
2024/6/13, 90, 53, , 11, 1, 5
2024/6/14, 109, 50, , 12, , 5
2024/6/15, 102, 36, , 6, , 4
2024/6/16, 76, 15, , 4, , 3
2024/6/17, 31, 28, , 7, , 3
2024/6/18, 57, 20, , 4, , 3
2024/6/19, 48, 28, , 5, , 4
2024/6/20, 65, 24, , 6, , 4
2024/6/21, 61, 24, , 6, , 3
2024/6/22, 47, 44, , 12, 2, 5
2024/6/23, 78, 39, , 11, 1, 4
2024/6/24, 72, 25, , 6, , 4
2024/6/25, 48, 20, , 3, 1, 3
2024/6/26, 48, 18, , 4, , 4
2024/6/27, 40, 24, , 4, , 4
2024/6/28, 47, 39, , 7, 2, 5
2024/6/29, 86, 45, , 9, 1, 6
2024/6/30, 99, 17, , 4, , 2
2024/1/1, 194, 74, , 19, , 11
2024/1/2, 162, 67, , 20, , 11
2024/1/3, 149, 63, , 16, , 6
2024/1/4, 145, 76, , 23, , 9
2024/1/5, 158, 80, , 29, , 9
2024/1/6, 162, 80, , 25, , 8
2024/1/7, 159, 97, , 28, , 11
2024/1/8, 178, 79, , 19, , 8
2024/1/9, 162, 81, , 25, , 11
2024/1/10, 166, 92, , 28, , 12
2024/1/11, 176, 101, , 25, , 12
2024/1/12, 183, 116, , 28, , 11
2024/1/13, 196, 88, , 20, , 9
2024/1/14, 171, 81, , 25, , 9
2024/1/15, 164, 43, , 14, , 7
2024/1/16, 87, 53, , 23, , 8
2024/1/17, 102, 72, , 27, , 9
2024/1/18, 151, 53, , 18, , 7
2024/1/19, 109, 41, , 16, , 6
2024/1/20, 75, 34, , 7, 1, 5
2024/1/21, 70, 36, , 10, , 3
2024/1/22, 66, 37, , 10, , 4
2024/1/23, 82, 28, , 9, , 5
2024/1/24, 67, 39, , 15, , 6
2024/1/25, 81, 53, , 16, , 7
2024/1/26, 115, 48, , 15, , 6
2024/1/27, 113, 55, , 20, , 7
2024/1/28, 122, 71, , 23, , 8
2024/1/29, 157, 74, , 20, , 8
2024/1/30, 160, 80, , 20, 4, 9
2024/1/31, 168, 62, , 17, , 7
2024/2/1, 139, 42, , 12, , 6
2024/2/2, 97, 26, , 11, , 8
2024/2/3, 55, 26, , 8, , 7
2024/2/4, 62, 32, , 11, , 7
2024/2/5, 75, 43, , 10, , 7
2024/2/6, 92, 44, , 11, , 6
2024/2/7, 104, 60, , 15, , 7
2024/2/8, 150, 55, , 11, 1, 6
2024/2/9, 134, 89, , 12, 1, 8
2024/2/10, 188, 88, , 16, 1, 8
2024/2/11, 185, 78, , 15, , 8
2024/2/12, 171, 74, , 18, 1, 8
2024/2/13, 166, 69, , 14, , 6
2024/2/14, 143, 38, , 5, , 3
2024/2/15, 68, 34, , 10, , 3
2024/2/16, 56, 51, , 13, , 4
2024/2/17, 111, 55, , 14, , 5
2024/2/18, 126, 159, , 10, , 3
2024/2/19, 165, 299, , 9, , 4
2024/2/20, 189, 42, , 4, , 3
2024/2/21, 51, 54, , 5, , 4
2024/2/22, 78, 23, , 6, , 4
2024/2/23, 51, 44, , 8, , 5
2024/2/24, 98, 55, , 16, , 7
2024/2/25, 121, 61, , 18, , 7
2024/2/26, 141, 63, , 18, , 6
2024/2/27, 148, 55, , 14, , 6
2024/2/28, 140, 34, , 11, , 5
2024/2/29, 79, 44, , 13, , 6
2024/3/1, 112, 45, , 15, , 6
2024/3/2, 110, 66, , 21, , 7
2024/3/3, 157, 66, , 18, 1, 7
2024/3/4, 153, 58, , 17, 1, 6
2024/3/5, 119, 58, , 21, , 5
2024/3/6, 95, 68, , 19, 1, 5
2024/3/7, 111, 75, , 25, 1, 7
2024/3/8, 140, 69, , 16, , 7
2024/3/9, 151, 65, , 17, 1, 7
2024/3/10, 149, 43, , 11, , 6
2024/3/11, 88, 66, , 21, 1, 7
2024/3/12, 129, 32, , 8, , 4
2024/3/13, 61, 30, , 7, , 4
2024/3/14, 56, 53, , 8, 1, 5
2024/3/15, 118, 59, , 7, , 5
2024/3/16, 114, 89, , 5, , 3
2024/3/17, 116, 45, , 5, , 3
2024/3/18, 70, 47, , 9, , 4
2024/3/19, 78, 60, , 10, 1, 5
2024/3/20, 101, 62, , 14, 1, 7
2024/3/21, 99, 76, , 24, 2, 9
2024/3/22, 134, 78, , 20, 2, 10
2024/3/23, 148, 41, , 5, , 7
2024/3/24, 72, 18, , 4, 2, 5
2024/3/25, 32, 29, , 9, 1, 4
2024/3/26, 51, 42, , 15, 1, 6
2024/3/27, 79, 33, , 12, 1, 5
2024/3/28, 65, 60, , 21, 1, 7
2024/3/29, 101, 45, , 16, 1, 6
2024/3/30, 82, 45, , 16, 1, 6
2024/3/31, 82, 52, , 14, 1, 6
2023/10/1, 96, 28, 19, 9, , 5
2023/10/2, 65, 31, 24, 10, , 6
2023/10/3, 67, 33, 15, 10, , 6
2023/10/4, 68, 17, 18, 6, , 4
2023/10/5, 37, 12, 18, 6, , 4
2023/10/6, 27, 15, 38, 6, , 5
2023/10/7, 35, 27, 18, 9, , 6
2023/10/8, 64, 19, 10, 9, 1, 5
2023/10/9, 45, 27, 25, 4, , 3
2023/10/10, 69, 25, 17, 3, , 3
2023/10/11, 70, 16, 20, 3, , 2
2023/10/12, 43, 24, 23, 9, , 5
2023/10/13, 45, 29, 46, 9, 1, 4
2023/10/14, 62, 37, 36, 8, , 4
2023/10/15, 87, 49, 24, 12, , 5
2023/10/16, 102, 50, 23, 9, , 4
2023/10/17, 112, 26, 19, 6, , 2
2023/10/18, 57, 18, 17, 10, , 2
2023/10/19, 34, 27, 17, 15, , 3
2023/10/20, 52, 48, 32, 16, , 5
2023/10/21, 98, 52, 45, 15, 1, 5
2023/10/22, 115, 64, 30, 21, , 6
2023/10/23, 146, 79, 27, 31, , 9
2023/10/24, 162, 74, 19, 25, , 7
2023/10/25, 152, 46, 5, 20, , 6
2023/10/26, 106, 13, 32, 11, , 2
2023/10/27, 27, 29, 30, 13, 1, 4
2023/10/28, 67, 45, 25, 17, 1, 5
2023/10/29, 103, 58, 18, 22, , 7
2023/10/30, 131, 56, 27, 15, , 5
2023/10/31, 142, 62, 18, 24, , 8
2023/11/1, 140, 58, 19, 19, , 7
2023/11/2, 131, 43, 15, 19, , 6
2023/11/3, 89, 48, 25, 17, , 7
2023/11/4, 102, 34, 38, 14, , 4
2023/11/5, 60, 38, 30, 15, , 4
2023/11/6, 53, 62, 26, 21, 1, 6
2023/11/7, 128, 59, 11, 21, , 6
2023/11/8, 121, 65, 42, 17, , 7
2023/11/9, 149, , , , , 
2023/11/13, 61, 36, , 14, , 4
2023/11/14, 81, 40, , 12, , 4
2023/11/15, 72, 55, , 15, , 5
2023/11/16, 87, 68, , 21, , 6
2023/11/17, 121, 77, , 23, , 7
2023/11/18, 151, 78, , 20, , 7
2023/11/19, 160, 81, , 24, , 8
2023/11/20, 164, 90, , 20, , 7
2023/11/21, 174, 64, , 17, , 7
2023/11/22, 142, 72, , 20, , 8
2023/11/23, 158, 93, , 25, 1, 10
2023/11/24, 176, 75, , 15, 1, 7
2023/11/25, 143, 43, , 17, , 5
2023/11/26, 78, 61, , 22, , 7
2023/11/27, 115, 71, , 21, , 7
2023/11/28, 154, 62, , 19, , 6
2023/11/29, 125, 46, , 11, , 4
2023/11/30, 83, 37, , 13, 1, 4
2023/12/1, 71, 45, , 14, , 5
2023/12/2, 97, 61, , 14, , 6
2023/12/3, 146, 70, , 17, 1, 9
2023/12/4, 158, 62, , 20, , 8
2023/12/5, 146, 68, , 16, 1, 9
2023/12/6, 151, 84, , 23, , 9
2023/12/7, 166, 95, , 23, , 10
2023/12/8, 181, 101, , 26, 1, 11
2023/12/9, 190, 120, , 28, , 12
2023/12/10, 214, 90, , 21, , 11
2023/12/11, 173, 64, , 22, , 8
2023/12/12, 136, 50, , 17, , 7
2023/12/13, 102, 50, , 17, 1, 8
2023/12/14, 115, 53, , 8, , 3
2023/12/15, 65, 54, , 10, , 2
2023/12/16, 54, 64, , 15, 1, 3
2023/12/17, 90, 58, , 14, 1, 5
2023/12/18, 113, 57, , 17, 1, 5
2023/12/19, 124, 50, , 13, , 4
2023/12/20, 111, 62, , 14, , 4
2023/12/21, 143, 81, , 21, , 6
2023/12/22, 170, 78, , 20, , 7
2023/12/23, 167, 60, , 18, 1, 7
2023/12/24, 147, 74, , 22, , 8
2023/12/25, 162, 86, , 23, , 10
2023/12/26, 173, 99, , 30, , 11
2023/12/27, 187, 101, , 30, , 10
2023/12/28, 188, 103, , 26, , 12
2023/12/29, 194, 101, , 25, , 11
2023/12/30, 190, 105, , 20, , 11
2023/12/31, 197, 99, , 18, , 10
2023/7/1, 62, 50, 74, 11, , 7
2023/7/2, 93, 28, 32, 6, , 6
2023/7/3, 68, 19, 59, 9, , 4
2023/7/4, 27, 42, 95, 12, 3, 5
2023/7/5, 75, 38, 110, 10, 1, 6
2023/7/6, 63, 57, 49, 15, 1, 7
2023/7/7, 98, 70, 155, 20, 1, 8
2023/7/8, 145, 57, 88, 10, 1, 14
2023/7/9, 104, 57, 121, 11, 1, 6
2023/7/10, 108, 40, 37, 5, 1, 3
2023/7/11, 80, 14, 34, 3, , 3
2023/7/12, 30, 14, 24, 4, , 2
2023/7/13, 28, 25, 44, 4, , 1
2023/7/14, 40, 59, 126, 14, 2, 4
2023/7/15, 87, 44, 84, 17, 1, 4
2023/7/16, 73, 45, 103, 11, 2, 3
2023/7/17, 75, 38, 91, 11, 1, 4
2023/7/18, 75, 34, 90, 7, , 3
2023/7/19, 71, 19, 52, 5, 1, 3
2023/7/20, 36, 22, 82, 6, , 3
2023/7/21, 53, 25, 67, 5, 1, 3
2023/7/22, 61, 29, 87, 5, 1, 3
2023/7/23, 70, 24, 42, 4, , 3
2023/7/24, 61, 26, 62, 7, , 4
2023/7/25, 54, 26, 28, 4, , 3
2023/7/26, 54, 13, 21, 2, , 2
2023/7/27, 39, 14, 47, 2, , 2
2023/7/28, 32, 28, 76, 7, , 3
2023/7/29, 69, 29, 58, 8, 1, 4
2023/7/30, 74, 27, 53, 6, 1, 4
2023/7/31, 59, 25, 64, 5, 1, 4
2023/8/1, 57, 28, 30, 6, , 4
2023/8/2, 61, 28, 29, 6, 1, 4
2023/8/3, 58, 21, 46, 6, , 4
2023/8/4, 45, 28, 50, 6, 1, 5
2023/8/5, 55, 25, 37, 5, , 4
2023/8/6, 56, 20, 55, 5, , 4
